Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525 CJ1, 525A CJ2, 560XL-XLS, 560XL-XLS+	Part	tail navigation light bulb	1638		For Parts Stocking	Stage 1	$2.58	2	$5.16	https://shop.boeing.com/aviation-supply/p/1638=18	RQ25-00028.1		Ordered		Approved	
525 CJ1, 525A CJ2, 525B CJ3, 560 Citation V, 560 Encore, 560 Encore+	Part	wing inspection light bulb	A-7079B-24		For Parts Stocking	Stage 1	$24.33	2	$48.66	https://shop.boeing.com/aviation-supply/p/A7079B24=5V	RQ25-00029.1		Ordered		Approved	
525 CJ1, 525A CJ2	Part	wing navigation light bulb	03-2111-0000 (alt A7512-24)		For Parts Stocking	Stage 1	$25.22	2	$50.44	https://shop.boeing.com/aviation-supply/p/A7512-24=5V	RQ25-00030.1		Ordered		Approved	
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, Citation X+, Citation X, 560XL-XLS+, 560XL-XLS, 560XL Excel	Tool	Robo Mule	MM-3200	Alberth Air Parts	Needed For Standard Inspections	Stage 1	$4,950.00	1	$4,950.00	https://alberthaviation.com/products/hydraulic-mule/	RQ25-00026.1		Pending Approval	BJC	Approved	Received 26SEP2025
525B CJ3, 525A CJ2, 525C CJ4, 525 CJ1	Tool	28 volt power supply	DCS33-33E		Needed For Standard Inspections	Stage 1		0	$0.00		RQ25-00031.1		Own Equivilent	Both	Not needed, alternate on hand	
525C CJ4	Tool	cabin pressurization test cart adapter kit	K-1288	Tronair	Needed For Standard Inspections	Stage 1	$1,632.00	1	$1,632.00	Proserv Aviation Quote Q18107	RQ25-00032.1		Pending Approval		Approved	
525C CJ4	Tool	flap breakout box	8788005-1	Cessna	Needed for Repairs	Stage 1	$5,140.20	1	$5,140.20	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/8788005-1	RQ25-00033.1		Sourcing			Received 26SEP2025
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3, 560 Encore+, 560 Citation V, 560 Encore, 560 Ultra, 560XL Excel, 560XL-XLS, 560XL-XLS+, Citation X, Citation X+	Tool	fuel drain valve removal tool	CJMD128-001	Cessna	Needed for Repairs	Stage 1	$70.06	0	$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMD128-001			Own Equivilent		Approved	
525A CJ2, 525B CJ3	Tool	fuel quantity test set	6388012-1 (CJMD828-002)	Cessna	Need For Advanced Troubleshooting	Stage 1	$6,322.00	1	$6,322.00	https://aeroval.com/ref/493202/CJMD828-002/			Sourcing		waiting for vendors	
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL-XLS, 560XL-XLS+, 560XL Excel	Tool	jack pad adapter	5520151-1	Cessna	Needed For Standard Inspections	Stage 1	$142.12	0	$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/5520151-1			Own Equivilent	BJC	"Approved
Zenith has NS with CoC for 70.00"	Received 26SEP2025
525C CJ4	Tool	landing gear simulator test box	8788001-8	Cessna	Needed for Repairs	Stage 1	$7,387.75	1	$7,387.75	Aircraft Parts Distribution Quote SQT-59937			Pending Approval		other option: 4 day lead  new condition for 7,200.00 Seattle Aviation Solutions  SQT855675	Received 26SEP2025
525A CJ2	Tool	landing gear squat switch breakout box	CJMD832-002 (525A)	Cessna	Needed For Standard Inspections	Stage 1	$4,670.00	1	$4,670.00	https://aeroval.com/ref/493206/CJMD832-002/			Pending Approval			
525B CJ3	Tool	landing gear squat switch breakout box	6388014-1 (525B)	Cessna	Needed For Standard Inspections	Stage 1	$1,995.78	1	$1,995.78	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/6388014-1			Pending Approval		Waiting for vendors	
560 Ultra, 560 Encore, 560 Encore+, 560XL Excel, 560XL-XLS, 560 Citation V, 525 CJ1, 525A CJ2, 525B CJ3	Tool	main gear jack pad	R-1798	Tronair	Needed For Standard Inspections	Stage 1	$114.28	2	$228.56	https://shop.boeing.com/aviation-supply/search?text=R-1798			Sourcing	BJC	Approved	
